userId,itemIds,scores
48,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.38452237844467163, 0.37509462237358093, 0.3740217387676239, 0.37050434947013855, 0.36258968710899353, 0.35295334458351135, 0.3500387370586395, 0.34874996542930603, 0.3470730781555176, 0.34651535749435425]"
49,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9511292576789856, 0.9424412250518799, 0.9419981241226196, 0.9376932382583618, 0.9294484257698059, 0.9246899485588074, 0.9185123443603516, 0.9169750213623047, 0.9154528379440308, 0.9148028492927551]"
50,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.018234372138977, 1.0081363916397095, 1.0076159238815308, 1.0026094913482666, 0.9931854605674744, 0.9857359528541565, 0.9796833395957947, 0.9784934520721436, 0.9767405986785889, 0.9756646752357483]"
51,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8549790382385254, 0.8406707644462585, 0.8391380906105042, 0.8336808681488037, 0.8212026357650757, 0.8100758790969849, 0.8034427165985107, 0.800570011138916, 0.7979891896247864, 0.7975448369979858]"
52,"[303, 282, 341, 557, 107, 2191, 502, 458, 139, 554]","[0.18408283591270447, 0.1827286183834076, 0.1827174723148346, 0.18187429010868073, 0.1805340051651001, 0.17949149012565613, 0.17852871119976044, 0.1785161793231964, 0.17829042673110962, 0.17802761495113373]"
53,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.5583157539367676, 0.544750988483429, 0.543847382068634, 0.5372614860534668, 0.5260122418403625, 0.5063971281051636, 0.5052309632301331, 0.5042685270309448, 0.5029962062835693, 0.5004671216011047]"
54,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.3071497082710266, 0.302325963973999, 0.3018709719181061, 0.29989108443260193, 0.29566535353660583, 0.29138490557670593, 0.2893233001232147, 0.2886285185813904, 0.287771999835968, 0.28744158148765564]"
55,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.6830635666847229, 0.6661872863769531, 0.6650663614273071, 0.6568466424942017, 0.642869234085083, 0.6177756786346436, 0.6169175505638123, 0.6154910922050476, 0.6141555309295654, 0.6108609437942505]"
56,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1045091152191162, 1.0917162895202637, 1.090912103652954, 1.0848371982574463, 1.0731985569000244, 1.0621904134750366, 1.055726408958435, 1.0544543266296387, 1.0522345304489136, 1.050836443901062]"
57,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.9274465441703796, 0.908009946346283, 0.9068280458450317, 0.8971792459487915, 0.880851686000824, 0.8528948426246643, 0.8510527610778809, 0.8495175838470459, 0.8478673696517944, 0.8440514802932739]"
58,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8054727911949158, 0.7918896079063416, 0.7906663417816162, 0.7849357724189758, 0.7731529474258423, 0.7594575881958008, 0.7544940114021301, 0.753135621547699, 0.7507549524307251, 0.7494955062866211]"
59,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.35827067494392395, 0.3505571782588959, 0.34983542561531067, 0.3466130495071411, 0.34009647369384766, 0.3314349055290222, 0.3292054235935211, 0.32864218950271606, 0.32729750871658325, 0.32651594281196594]"
60,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5887014865875244, 0.5747506618499756, 0.5731743574142456, 0.5679561495780945, 0.5562103390693665, 0.5418141484260559, 0.5375620126724243, 0.5357244610786438, 0.5332297086715698, 0.5323463678359985]"
61,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0650159120559692, 1.051633596420288, 1.0503872632980347, 1.044932246208191, 1.0328266620635986, 1.024570345878601, 1.0167263746261597, 1.0137059688568115, 1.0112926959991455, 1.0109260082244873]"
62,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0931118726730347, 1.0735867023468018, 1.071506142616272, 1.0640159845352173, 1.0471255779266357, 1.030332088470459, 1.0221965312957764, 1.0187947750091553, 1.0152807235717773, 1.0144048929214478]"
63,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1532503366470337, 1.1378201246261597, 1.1364728212356567, 1.1299808025360107, 1.1161752939224243, 1.1039364337921143, 1.0963071584701538, 1.093814492225647, 1.0910629034042358, 1.090070128440857]"
64,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.503009021282196, 0.491441011428833, 0.49000948667526245, 0.48596563935279846, 0.47617700695991516, 0.46569210290908813, 0.4615502953529358, 0.45938149094581604, 0.4572862684726715, 0.4569401741027832]"
65,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0585203170776367, 1.045110821723938, 1.0440996885299683, 1.038094401359558, 1.0260298252105713, 1.014765739440918, 1.0081692934036255, 1.0064650774002075, 1.0041098594665527, 1.0029314756393433]"
66,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5574008822441101, 0.543817937374115, 0.5422108173370361, 0.5373059511184692, 0.5258800387382507, 0.5127545595169067, 0.5082614421844482, 0.5060585141181946, 0.5036143660545349, 0.5030222535133362]"
67,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1075390577316284, 1.1000914573669434, 1.0999197959899902, 1.095849633216858, 1.0883030891418457, 1.0863630771636963, 1.0793918371200562, 1.077786922454834, 1.0764824151992798, 1.0759235620498657]"
68,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6147298216819763, 0.6008211970329285, 0.5993354916572571, 0.5939527153968811, 0.582213282585144, 0.5676687955856323, 0.5633845925331116, 0.5617461204528809, 0.5592777729034424, 0.558269202709198]"
69,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6467793583869934, 0.6343816518783569, 0.6331684589385986, 0.6281582713127136, 0.617540717124939, 0.6052808165550232, 0.6008518934249878, 0.5993490815162659, 0.5971503853797913, 0.596225917339325]"
70,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5218276381492615, 0.5105099678039551, 0.5095866918563843, 0.5045189261436462, 0.4949929416179657, 0.4806673526763916, 0.4780365526676178, 0.4779447317123413, 0.4760180413722992, 0.47441813349723816]"
71,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6312536001205444, 0.6162195801734924, 0.6147800087928772, 0.6085332632064819, 0.5959427952766418, 0.5780626535415649, 0.5743348002433777, 0.5735013484954834, 0.5709012150764465, 0.5692498683929443]"
72,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9262912273406982, 0.9144705533981323, 0.913335919380188, 0.9085922837257385, 0.8979209065437317, 0.8906153440475464, 0.8837568759918213, 0.8810393810272217, 0.8789089322090149, 0.8786194324493408]"
73,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8147643804550171, 0.806736409664154, 0.8063027858734131, 0.802373468875885, 0.7948593497276306, 0.7896755337715149, 0.784486711025238, 0.7832673788070679, 0.7818652987480164, 0.781179666519165]"
74,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.7228863835334778, 0.7080889940261841, 0.7064847350120544, 0.7008402347564697, 0.6882191300392151, 0.6735323071479797, 0.6685486435890198, 0.6665342450141907, 0.6638944745063782, 0.6629350781440735]"
75,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.904332160949707, 0.8862566351890564, 0.8843193054199219, 0.8773629665374756, 0.8619139194488525, 0.8448730111122131, 0.8382234573364258, 0.8355118632316589, 0.8322774171829224, 0.831263542175293]"
76,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5411099791526794, 0.5266357064247131, 0.5247827172279358, 0.5198624730110168, 0.5077520608901978, 0.4941723644733429, 0.48941949009895325, 0.4867210388183594, 0.4840865135192871, 0.4837034344673157]"
77,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6790075898170471, 0.6649110913276672, 0.6637208461761475, 0.6575356125831604, 0.6456090211868286, 0.6292589902877808, 0.6252346634864807, 0.6245720982551575, 0.622143566608429, 0.6204790472984314]"
78,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6341201066970825, 0.6227152943611145, 0.6215851306915283, 0.6169940829277039, 0.6071537733078003, 0.5959588289260864, 0.5918130278587341, 0.5904102325439453, 0.5883907675743103, 0.5875183939933777]"
79,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8983890414237976, 0.8852981328964233, 0.8839958310127258, 0.878811776638031, 0.8672113418579102, 0.8575451374053955, 0.8509604930877686, 0.8483561277389526, 0.845996081829071, 0.84550940990448]"
80,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.5355495810508728, 0.5214634537696838, 0.5204883813858032, 0.5137130618095398, 0.5020989179611206, 0.4812993109226227, 0.4804735481739044, 0.47940388321876526, 0.4781566262245178, 0.4755067229270935]"
81,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0056308507919312, 0.9906745553016663, 0.9894240498542786, 0.9829477667808533, 0.9697835445404053, 0.9557600617408752, 0.9494975805282593, 0.9478310346603394, 0.9452077150344849, 0.9438526034355164]"
82,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8794912099838257, 0.8627328872680664, 0.8608871698379517, 0.8545693159103394, 0.8401613235473633, 0.8251725435256958, 0.8186308145523071, 0.8157923221588135, 0.8127802014350891, 0.8120072484016418]"
83,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0444530248641968, 1.0309803485870361, 1.0303088426589966, 1.0234246253967285, 1.0114195346832275, 0.9964034557342529, 0.9912174344062805, 0.9912111163139343, 0.9889553189277649, 0.9867324829101562]"
84,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.29671812057495117, 0.2942979037761688, 0.2942558228969574, 0.29285791516304016, 0.2905213236808777, 0.28880730271339417, 0.2871319651603699, 0.28696775436401367, 0.2865584194660187, 0.28619667887687683]"
85,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.7493973970413208, 0.7324600219726562, 0.7305610775947571, 0.72419673204422, 0.7098802924156189, 0.6928712725639343, 0.6873995065689087, 0.6850482225418091, 0.6820260882377625, 0.6810062527656555]"
86,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.24353832006454468, 0.24010248482227325, 0.2398274689912796, 0.23831811547279358, 0.23527348041534424, 0.23221464455127716, 0.23066166043281555, 0.23024673759937286, 0.22964370250701904, 0.22934770584106445]"
87,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.652435302734375, 0.6384966373443604, 0.6368786096572876, 0.6317936778068542, 0.6199352741241455, 0.6072283983230591, 0.6021012663841248, 0.5996716618537903, 0.5971525311470032, 0.5966008901596069]"
88,"[303, 282, 341, 557, 2191, 107, 247, 502, 458, 139]","[0.9067189693450928, 0.9049400687217712, 0.9043905138969421, 0.9024533033370972, 0.9015219807624817, 0.8992246985435486, 0.8966988921165466, 0.8964431285858154, 0.8960618376731873, 0.8957126140594482]"
89,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.4821188449859619, 0.4761998951435089, 0.4759853780269623, 0.4727833569049835, 0.46748650074005127, 0.4605570435523987, 0.45854729413986206, 0.4583180248737335, 0.45757392048835754, 0.4564419388771057]"
90,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1156909465789795, 1.103306531906128, 1.1026023626327515, 1.0965725183486938, 1.0852322578430176, 1.0751903057098389, 1.0684486627578735, 1.0671296119689941, 1.0649800300598145, 1.0636590719223022]"
91,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.24007786810398102, 0.23758713901042938, 0.23739901185035706, 0.2363061010837555, 0.2339872270822525, 0.2324470430612564, 0.23089851438999176, 0.23041614890098572, 0.22997188568115234, 0.22982510924339294]"
92,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8411689400672913, 0.8245368003845215, 0.8231809139251709, 0.8157720565795898, 0.8016399145126343, 0.7817819118499756, 0.7772295475006104, 0.7767319679260254, 0.7738841772079468, 0.771712601184845]"
93,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.7499296069145203, 0.7313500046730042, 0.7301135063171387, 0.7210700511932373, 0.7056846022605896, 0.6780778169631958, 0.6771178841590881, 0.6755581498146057, 0.6740745902061462, 0.6704540848731995]"
94,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9399217963218689, 0.9248746037483215, 0.9233900904655457, 0.9173868894577026, 0.9042195677757263, 0.8911192417144775, 0.8846936225891113, 0.882328450679779, 0.8796332478523254, 0.8787363171577454]"
95,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.7823496460914612, 0.7658050060272217, 0.7642754912376404, 0.757319986820221, 0.7433149218559265, 0.72459477186203, 0.7198393940925598, 0.7187126278877258, 0.715836226940155, 0.71409672498703]"
96,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.49188104271888733, 0.48166027665138245, 0.4805854260921478, 0.47660356760025024, 0.46790811419487, 0.45801541209220886, 0.4543789029121399, 0.45294851064682007, 0.4511217474937439, 0.4505012333393097]"
97,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.7571724057197571, 0.7437482476234436, 0.7423766851425171, 0.7370819449424744, 0.7254694700241089, 0.7141412496566772, 0.7083204388618469, 0.7059961557388306, 0.7035878896713257, 0.7029845118522644]"
98,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.6540772914886475, 0.6407548785209656, 0.6400829553604126, 0.6331373453140259, 0.6219431161880493, 0.6017817854881287, 0.6013484597206116, 0.5997606515884399, 0.5992096662521362, 0.5962512493133545]"
99,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9240604639053345, 0.9086667895317078, 0.9073123335838318, 0.9007555842399597, 0.8873941898345947, 0.8714337348937988, 0.8659971952438354, 0.864647388458252, 0.8619624376296997, 0.8603973388671875]"
100,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.588951826095581, 0.5789179801940918, 0.5778456330299377, 0.5740128755569458, 0.5652823448181152, 0.5564391613006592, 0.5523610711097717, 0.5506945848464966, 0.5488868951797485, 0.5483599305152893]"
101,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.737555742263794, 0.7200013995170593, 0.7188572883605957, 0.7102842926979065, 0.6957016587257385, 0.6699354648590088, 0.6687545776367188, 0.6673433184623718, 0.6658765077590942, 0.6624810695648193]"
